phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,middleRingWeight,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.806598939430373,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,78,0.449164778833968,1.06291104815906,0,4038161.27850915,0.0287351829587685
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.2636779726463,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,79,0.449164778833967,1.06221978348177,0,4035535.05850899,0.028664039904494
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.34623179235923,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,80,0.449164778833968,1.0573676645098,0,4017101.11807224,0.0287812102803529
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.346128094642291,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,81,0.449164778833969,1.05557887704893,0,4010305.24152879,0.0287629467643425
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,2.76732389275725e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,82,0.449164778833969,1.05441707871915,0,4005891.39237663,0.0287416256637671
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.0000004704451,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,83,0.449164778833969,1.05441707871915,0,4005891.39237663,0.0287416256637671
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.757632270108642,3.0029242748554,1.5e-08,0.0400146062090182,84,0.44916477883397,1.05294603061958,0,4000302.65615566,0.0288129059709146
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,2.95317909068351,1.5e-08,0.0400146062090182,85,0.449164778833968,1.06138424806514,0,4032360.73195356,0.0287417490408002
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.03774645978397e-08,0.0400146062090182,86,0.449164778833969,1.05441707871915,0,4005891.39237663,0.0287416256637671
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0388509114301338,87,0.44916477883397,1.05871530908838,0,4022221.02548487,0.0287499909984266
